Filename,language,dur,lartype,family,area,norm.soe
06-take-away,Palula,138.03500000000003,h,Indo-European,Eurasia,0.2556285014695339
07-garland,Palula,127.702,h,Indo-European,Eurasia,0.4812316776026867
42-wind,Palula,170.246,h,Indo-European,Eurasia,0.17141711293407494
18-hang-Speaker1,Philippine English,110.164,h,Indo-European,Eurasia,0.4644046763599822
18-hang-Speaker2,Philippine English,154.154,h,Indo-European,Eurasia,0.37534093257106865
18-hang-Speaker3,Philippine English,97.739,h,Indo-European,Eurasia,0.4136794525073884
18-hang-Speaker4,Philippine English,134.92999999999998,h,Indo-European,Eurasia,0.3879867368659448
19-height-Speaker1,Philippine English,173.173,h,Indo-European,Eurasia,0.464420381494569
19-height-Speaker2,Philippine English,158.64,h,Indo-European,Eurasia,0.28439712543798423
19-height-Speaker3,Philippine English,69.78299999999999,h,Indo-European,Eurasia,0.43880192180622574
19-height-Speaker4,Philippine English,144.678,h,Indo-European,Eurasia,0.3925335924212425
40-hiss-Speaker1,Philippine English,99.77499999999998,h,Indo-European,Eurasia,0.5226148930648327
40-hiss-Speaker2,Philippine English,84.82100000000003,h,Indo-European,Eurasia,0.5432878417020506
40-hiss-Speaker3,Philippine English,108.83399999999999,h,Indo-European,Eurasia,0.5964850508553454
40-hiss-Speaker4,Philippine English,101.71099999999998,h,Indo-European,Eurasia,0.3286326926657167
41-his-Speaker1,Philippine English,94.889,h,Indo-European,Eurasia,0.5191733305175651
41-his-Speaker2,Philippine English,83.05699999999999,h,Indo-European,Eurasia,0.4386238179206311
41-his-Speaker3,Philippine English,87.035,h,Indo-European,Eurasia,0.5261686343828577
41-his-Speaker4,Philippine English,158.40800000000002,h,Indo-European,Eurasia,0.3123339970385575
18-condition,Punjabi,170.095,h,Indo-European,Eurasia,0.3959285971420631
29-elephant,Punjabi,111.07100000000001,h,Indo-European,Eurasia,0.4081495923943351
32-is,Punjabi,150.78700000000003,h,Indo-European,Eurasia,0.4545663346521437
39-what,Punjabi,237.94,h,Indo-European,Eurasia,0.46301442291669437
01-happy,RP English,109.018,h,Indo-European,Eurasia,0.21715422740747892
02-half,RP English,126.31700000000001,h,Indo-European,Eurasia,0.22134899472579253
15-hat,RP English,125.47,h,Indo-European,Eurasia,0.3547279914671477
22-hang,RP English,96.265,h,Indo-European,Eurasia,0.24893296993050643
09-cow-SF,Sandawe,57.819,h,Sandawe,Africa,0.35500687022936755
28-collect-water,Sandawe,84.375,h,Sandawe,Africa,0.16998363671698113
44-well-being,Saraiki,194.00499999999997,H,Indo-European,Eurasia,0.13232224902300746
19-cellphone-hape,Sasak,70.88399999999999,h,Austronesian,Papunesia,0.2609363116723053
02-said,Scottish Gaelic,90.00200000000001,h,Indo-European,Eurasia,0.21525043134577387
17-obtained,Scottish Gaelic,102.11699999999999,h,Indo-European,Eurasia,0.23467454336984256
22-become_rich,Setswana,181.397,h,NA,NA,0.21787175062417893
10-cold,Shanghai Chinese,71.594,H,Sino-Tibetan,Eurasia,0.30181719716593325
21-a_plant,Shanghai Chinese,81.60599999999997,h,Sino-Tibetan,Eurasia,0.5436664831058861
32-to_harm,Shanghai Chinese,130.298,H,Sino-Tibetan,Eurasia,0.5586493873348474
33-unrestrained,Shanghai Chinese,72.572,H,Sino-Tibetan,Eurasia,0.411970820877845
34-shoe,Shanghai Chinese,93.30200000000002,H,Sino-Tibetan,Eurasia,0.49210879556235076
necklace,Sindhi,165.567,h,Indo-European,Eurasia,0.33166319433143576
03-quarrel,Slovak,84.838,H,Indo-European,Eurasia,0.2969579156501674
29-snakes,Slovak,133.796,H,Indo-European,Eurasia,0.37348755113401494
14-it-shakes,Spokane,35.31199999999998,h,Salish,North America,0.6255588854382054
31-dark,Spokane,71.56800000000001,h,Salish,North America,0.43599720694090466
23m-to_kill,Sumi,59.062999999999995,h,Sino-Tibetan,Eurasia,0.4286169159240026
flat-rock,Swedish,147.015,h,Indo-European,Eurasia,0.38719071926355086
heel,Swedish,168.883,h,Indo-European,Eurasia,0.3302385485426166
threat,Swedish,181.87599999999998,h,Indo-European,Eurasia,0.2607300298181143
whole,Swedish,131.515,h,Indo-European,Eurasia,0.45622134568499795
19-sarong,Tausug,159.648,h,Austronesian,Papunesia,0.34004628534106085
06-hero,Telugu,126.263,h,Dravidian,Eurasia,0.34343646369172665
07-heroes,Telugu,123.97900000000001,h,Dravidian,Eurasia,0.3986698376455937
25-pleasantness,Telugu,116.71799999999999,h,Dravidian,Eurasia,0.22561731779187028
10b-interjection-to_draw_attn,Temne,80.433,h,Niger-Congo,Africa,0.20908689316915638
